District,TotPopulation,Male,Female,Hijra,Sex_Ratio,EthnicPopulation,Muslim,Hindu,Buddhist,Christian,Others,Literacy,Male_Literacy,Female_Literacy,Hijra_Literacy,Household,Slum_Household,Slum_Pop,Float_Household,Float_Pop,Other_Household,Other_HH_Pop,Household_Size,Pop_Density
Cumilla,"6,212,216","2,898,583","3,310,416",373,87.56,"2,044",95.51,4.33,0.09,0.01,0.05,76.51,77.45,75.71,46.54,"1,407,396","6,581",28008,393,453,"1,400,422","6,183,755",4.41,"1,974"
Cox's Bazar,"2,823,265","1,432,864","1,388,086",173,103.23,"14,861",94.52,3.82,1.5,0.07,0.09,71.45,72.37,70.5,52.44,"587,127","3,185",13208,259,264,"583,683","2,809,793",4.81,"1,133"
Feni,"1,648,896","780,065","868,124",84,89.86,906,94.35,5.52,0.04,0.01,0.07,80.59,82.37,79.02,58.54,"377,189","7,168",27069,391,401,"369,630","1,621,426",4.37,"1,665"
Khagrachhari,"714,119","357,406","356,477",51,100.26,"349,378",46.56,16.75,35.92,0.62,0.16,71.73,77.13,66.35,57.14,"169,526",327,1312,83,83,"169,116","712,724",4.21,260
Lakshmipur,"1,938,111","912,932","1,024,669",118,89.1,150,96.75,3.19,0.01,0.01,0.05,73.84,73.72,73.95,57.76,"459,381",24,98,145,522,"459,212","1,937,491",4.22,"1,346"
Noakhali,"3,625,252","1,730,561","1,893,604",198,91.39,"1,003",95.84,4.05,0.02,0.03,0.06,75.36,75.48,75.26,48.4,"776,034","4,937",21973,329,363,"770,768","3,602,916",4.67,984
Rangamati,"647,587","333,015","314,205",33,105.99,"372,864",36.22,5.1,57.25,1.32,0.11,71.33,77.71,64.56,46.88,"153,484","1,471",6074,53,53,"151,960","641,460",4.22,106
Dhaka,"14,734,025","7,883,940","6,829,098","2,185",115.45,"27,129",94.82,4.55,0.11,0.43,0.09,84.68,86.23,82.86,57.71,"4,036,445","208,268","692,628","5,969","6,476","3,822,208","14,034,921",3.65,"10,067"
Faridpur,"2,162,876","1,050,193","1,112,061",151,94.44,"6,452",91.47,8.44,0,0.05,0.04,71.99,73.12,70.94,43.84,"525,879","1,820","6,750",294,303,"523,765","2,155,823",4.11,"1,054"
Gazipur,"5,263,474","2,734,086","2,524,805",599,108.29,"9,770",94.4,5,0.03,0.5,0.07,81.25,83.46,78.86,59.11,"1,579,844","41,266","117,394",592,634,"1,537,986","5,145,446",3.33,"2,914"
Gopalganj,"1,295,053","634,105","660,770",65,95.96,"2,470",72.07,26.94,0.01,0.93,0.04,79.76,81.6,78.01,56.45,"308,707",196,758,60,62,"308,451","1,294,233",4.2,882
Kishoreganj,"3,267,630","1,572,370","1,694,057",225,92.82,"1,021",95.09,4.84,0,0.01,0.05,67.47,67.8,67.17,48.15,"760,958",258,"1,079",328,353,"760,372","3,266,198",4.29,"1,215"
Madaripur,"1,293,027","615,579","677,043",79,90.92,508,88.65,11.2,0.01,0.1,0.04,74.84,76.77,73.13,59.21,"313,274",191,758,70,102,"313,013","1,292,167",4.13,"1,149"
Manikganj,"1,558,024","751,784","805,890",107,93.29,909,91,8.91,0.01,0.03,0.04,71.08,74.27,68.15,57.69,"393,524",73,262,182,234,"393,269","1,557,528",3.96,"1,126"
Munshiganj,"1,625,418","788,145","836,564",93,94.21,"4,808",92.31,7.51,0.01,0.11,0.06,77.8,78.98,76.71,68.89,"399,633",577,"2,207",189,204,"398,867","1,623,007",4.07,"1,618"
Narayanganj,"3,909,138","2,015,845","1,892,162",364,106.54,"1,267",95.17,4.71,0.03,0.04,0.06,79.09,80.82,77.25,50.14,"1,023,190","8,934","31,800",383,416,"1,013,873","3,876,922",3.82,"5,712"
Narsingdi,"2,584,452","1,265,578","1,317,873",178,96.03,508,94.5,5.4,0.01,0.03,0.06,74.69,75.98,73.47,54.97,"621,514","2,785","11,029",152,163,"618,577","2,573,260",4.16,"2,247"
Rajbari,"1,189,821","581,907","607,499",95,95.79,"3,324",90.63,9.29,0,0.01,0.06,69.37,70.66,68.16,48.31,"295,219","1,933","7,282",202,218,"293,084","1,182,321",4.03,"1,089"
Shariatpur,"1,294,561","621,288","672,752",87,92.35,437,96.65,3.3,0.02,0.01,0.03,72.8,74.1,71.63,45.24,"308,963",826,"3,465",83,110,"308,054","1,290,986",4.19,"1,103"
Tangail,"4,037,608","1,945,002","2,090,982",349,93.02,"23,708",93.17,6.36,0.01,0.38,0.09,69.62,72.5,66.97,57.85,"1,061,749","2,386","9,084",172,195,"1,059,191","4,028,329",3.8,"1,183"
Bagerhat,"1,613,079","801,716","810,581",90,98.91,"1,046",83.22,16.38,0,0.37,0.03,81.32,82.38,80.29,58.62,"408,862","2,687","10,062",180,190,"405,995","1,602,827",3.95,407
Chuadanga,"1,234,066","607,558","626,245",93,97.02,707,97.58,2.25,0,0.13,0.04,71.12,71.96,70.31,56.04,"326,718","1,564","5,606",67,78,"325,087","1,228,382",3.78,"1,051"
Jashore,"3,076,849","1,522,763","1,549,146",195,98.3,"5,386",89.57,10.18,0.01,0.17,0.07,76.96,79.56,74.43,59.26,"798,057","7,345","26,358",230,265,"790,482","3,050,226",3.86,"1,180"
Jhenaidah,"2,005,849","995,544","1,009,712",148,98.6,"5,624",91.52,8.38,0.01,0.05,0.05,72.7,74.82,70.63,57.34,"519,296",787,"2,793",87,95,"518,422","2,002,961",3.86,"1,021"
